Wafer#,Thickness,90_center,90_width,90_center_sd,150_center,150_width,150_center_sd,220_center,220_width,220_center_sd
136,490,100.4,23,1.7,151.4,35.3,1.5,218.5,49.3,0.5
139,509,98.5,22,3.3,152.4,36.3,3.6,22.8,43.9,3.4
142,510,101.1,23.1,2.2,153.6,36.8,3.4,222.4,46.8,2.3
147,522,103.4,23.8,3.4,155.5,39.3,4.8,224.2,47.6,2.3
148,516,102.2,23.4,2.4,155.4,38.6,3.5,226.7,48.9,3.1
152,510,100.8,22.2,2.5,153.2,38.3,2.8,223.8,48.4,1.6
153,515,102.3,22.5,2.5,155.5,39.3,3.5,227.4,45.2,2.9
157,510,101.3,22.8,2.1,153.1,37.6,4,222.6,48.6,1.6
158,510,101.2,21.8,2.1,153.6,38.1,4.9,222.8,48.9,1.5
162,520,101.2,22.3,3,154.6,37.7,4.2,225.6,45.6,2
